EventName,Date,ImageURL,Description
Summer Festival,12/10/2024,https://drive.google.com/file/d/1zfbdyOKOxFrv9YRL7Dim9rcICJz9T_r9/view?usp=drive_link,A fun-filled summer music festival.
Winter Wonderland,12/25/2024,https://drive.google.com/file/d/1fW4E0R7UKI1dGFQul4vJwyCjZtI1ooxL/view?usp=drive_link,Celebrate the holiday season.
Spring Blossom,3/15/2025,https://drive.google.com/file/d/14J5gBGPtxJl9FUC638lID27PKfvrk0Uq/view?usp=drive_link,Experience the beauty of spring flowers.
Tech Conference,11/20/2024,https://drive.google.com/file/d/1zfbdyOKOxFrv9YRL7Dim9rcICJz9T_r9/view?usp=drive_link,Learn the latest in technology.
Music Mania,10/5/2024,https://drive.google.com/file/d/1fW4E0R7UKI1dGFQul4vJwyCjZtI1ooxL/view?usp=drive_link,A night of live music performances.
Food Carnival,1/20/2025,https://drive.google.com/file/d/14J5gBGPtxJl9FUC638lID27PKfvrk0Uq/view?usp=drive_link,Enjoy a variety of cuisines.
Art Expo,2/12/2025,https://drive.google.com/file/d/1zfbdyOKOxFrv9YRL7Dim9rcICJz9T_r9/view?usp=drive_link,Discover stunning artworks from local artists.
Dance Fiesta,9/8/2024,https://drive.google.com/file/d/1fW4E0R7UKI1dGFQul4vJwyCjZtI1ooxL/view?usp=drive_link,Groove to the beats of the best DJs.
Book Fair,11/1/2024,https://drive.google.com/file/d/14J5gBGPtxJl9FUC638lID27PKfvrk0Uq/view?usp=drive_link,Explore and buy amazing books.
Charity Run,3/25/2025,https://drive.google.com/file/d/1zfbdyOKOxFrv9YRL7Dim9rcICJz9T_r9/view?usp=drive_link,Join us to support a good cause.
Film Festival,12/30/2024,https://drive.google.com/file/d/1fW4E0R7UKI1dGFQul4vJwyCjZtI1ooxL/view?usp=drive_link,Enjoy movies from around the world.
Gaming Tournament,1/10/2025,https://drive.google.com/file/d/14J5gBGPtxJl9FUC638lID27PKfvrk0Uq/view?usp=drive_link,Compete in exciting video games.
Fashion Show,11/18/2024,https://drive.google.com/file/d/1zfbdyOKOxFrv9YRL7Dim9rcICJz9T_r9/view?usp=drive_link,Showcasing the latest trends in fashion.
Yoga Retreat,2/5/2025,https://drive.google.com/file/d/1fW4E0R7UKI1dGFQul4vJwyCjZtI1ooxL/view?usp=drive_link,Relax and rejuvenate your mind and body.
History Walk,3/12/2025,https://drive.google.com/file/d/14J5gBGPtxJl9FUC638lID27PKfvrk0Uq/view?usp=drive_link,Learn about the city's rich history.
Cooking Workshop,10/25/2024,https://drive.google.com/file/d/1zfbdyOKOxFrv9YRL7Dim9rcICJz9T_r9/view?usp=drive_link,Master the art of cooking.
Science Exhibition,12/15/2024,https://drive.google.com/file/d/1fW4E0R7UKI1dGFQul4vJwyCjZtI1ooxL/view?usp=drive_link,Discover groundbreaking scientific advancements.
Photography Contest,1/28/2025,https://drive.google.com/file/d/14J5gBGPtxJl9FUC638lID27PKfvrk0Uq/view?usp=drive_link,Showcase your photography skills.
Wine Tasting,11/12/2024,https://drive.google.com/file/d/1zfbdyOKOxFrv9YRL7Dim9rcICJz9T_r9/view?usp=drive_link,Savor the finest wines from around the region.
Karaoke Night,10/19/2024,https://drive.google.com/file/d/1fW4E0R7UKI1dGFQul4vJwyCjZtI1ooxL/view?usp=drive_link,Sing your heart out with friends.
Beach Party,9/30/2024,https://drive.google.com/file/d/14J5gBGPtxJl9FUC638lID27PKfvrk0Uq/view?usp=drive_link,A lively party by the sea.
Cycling Race,3/10/2025,https://drive.google.com/file/d/1zfbdyOKOxFrv9YRL7Dim9rcICJz9T_r9/view?usp=drive_link,Compete in a thrilling cycling race.
Stand-up Comedy,12/5/2024,https://drive.google.com/file/d/1fW4E0R7UKI1dGFQul4vJwyCjZtI1ooxL/view?usp=drive_link,Laugh out loud with top comedians.
Cultural Fest,1/15/2025,https://drive.google.com/file/d/14J5gBGPtxJl9FUC638lID27PKfvrk0Uq/view?usp=drive_link,Celebrate the diversity of cultures.
Theater Play,11/27/2024,https://drive.google.com/file/d/1zfbdyOKOxFrv9YRL7Dim9rcICJz9T_r9/view?usp=drive_link,Enjoy a stunning live performance.
Kids Carnival,12/18/2024,https://drive.google.com/file/d/1fW4E0R7UKI1dGFQul4vJwyCjZtI1ooxL/view?usp=drive_link,Fun activities and games for kids.
Pet Show,2/28/2025,https://drive.google.com/file/d/14J5gBGPtxJl9FUC638lID27PKfvrk0Uq/view?usp=drive_link,A showcase of adorable pets.
Marathon,3/20/2025,https://drive.google.com/file/d/1zfbdyOKOxFrv9YRL7Dim9rcICJz9T_r9/view?usp=drive_link,Run for health and fitness.
Craft Workshop,10/15/2024,https://drive.google.com/file/d/1fW4E0R7UKI1dGFQul4vJwyCjZtI1ooxL/view?usp=drive_link,Learn new crafting skills.
Adventure Trek,12/8/2024,https://drive.google.com/file/d/14J5gBGPtxJl9FUC638lID27PKfvrk0Uq/view?usp=drive_link,An exciting trekking experience.
Flower Show,3/5/2025,https://drive.google.com/file/d/14J5gBGPtxJl9FUC638lID27PKfvrk0Uq/view?usp=drive_link,A visual treat of colorful flowers.
